iPhasePC GPS状态 GPS模式 GPS有效性 GPS经度 GPS纬度 GPS高度 GPS东速 GPS北速 GPS天速
   4028 01 60 5a 116.603149 40.141692 34.33 0.0171 -0.0019 -0.0341
   4068 01 60 5a 116.603149 40.141692 34.33 -0.0056 -0.0179 0.0166
   4108 01 60 5a 116.603149 40.141692 34.33 0.0029 -0.0137 -0.0077
   4148 01 60 5a 116.603149 40.141692 34.32 -0.0042 -0.0069 0.0017
   4188 01 60 5a 116.603149 40.141692 34.32 -0.0069 -0.0248 -0.0251
   4228 01 60 5a 116.603149 40.141692 34.32 -0.0008 0.0071 0.0323
   4269 01 60 5a 116.603149 40.141692 34.32 -0.0038 0.0223 -0.0040
   4308 01 60 5a 116.603149 40.141692 34.31 -0.0197 -0.0158 -0.0412
   4348 01 60 5a 116.603149 40.141692 34.31 0.0055 0.0129 -0.0141
   4388 01 60 5a 116.603149 40.141692 34.30 0.0056 0.0118 -0.0042
   4428 01 60 5a 116.603149 40.141692 34.30 -0.0102 -0.0098 0.0142
   4469 01 60 5a 116.603149 40.141692 34.30 0.0079 -0.0051 0.0020
   4508 01 60 5a 116.603149 40.141692 34.29 -0.0179 -0.0181 -0.0097
   4548 01 60 5a 116.603149 40.141692 34.28 -0.0053 -0.0271 -0.0143
   4588 01 60 5a 116.603149 40.141692 34.28 0.0006 -0.0140 0.0063
   4628 01 60 5a 116.603149 40.141692 34.28 0.0244 0.0304 0.0246
   4668 01 60 5a 116.603149 40.141692 34.28 0.0037 0.0251 -0.0151
   4708 01 60 5a 116.603149 40.141692 34.28 -0.0066 0.0154 0.0145
   4748 01 60 5a 116.603149 40.141692 34.28 -0.0078 -0.0064 0.0506
   4788 01 60 5a 116.603149 40.141692 34.27 -0.0194 -0.0119 0.0021
   4828 01 60 5a 116.603149 40.141692 34.27 0.0166 0.0076 0.0159
   4868 01 60 5a 116.603149 40.141692 34.27 0.0091 -0.0047 -0.0318
   4908 01 60 5a 116.603149 40.141692 34.27 -0.0030 -0.0071 0.0290
   4948 01 60 5a 116.603149 40.141692 34.27 -0.0028 -0.0130 0.0248
   4988 01 60 5a 116.603149 40.141691 34.26 -0.0100 -0.0429 -0.0283
   5028 01 60 5a 116.603149 40.141692 34.26 0.0095 0.0136 0.0073
   5068 01 60 5a 116.603149 40.141691 34.26 -0.0147 0.0055 -0.0210
   5108 01 60 5a 116.603149 40.141691 34.25 -0.0198 -0.0130 -0.0284
   5149 01 60 5a 116.603149 40.141691 34.25 0.0122 -0.0187 -0.0306
   5188 01 60 5a 116.603149 40.141691 34.25 0.0072 -0.0064 -0.0014
   5228 01 60 5a 116.603149 40.141691 34.25 0.0127 -0.0043 -0.0043
   5268 01 60 5a 116.603149 40.141691 34.24 0.0014 -0.0068 -0.0192
   5308 01 60 5a 116.603149 40.141691 34.24 0.0003 -0.0031 -0.0315
   5348 01 60 5a 116.603149 40.141691 34.24 -0.0049 -0.0008 0.0271
   5388 01 60 5a 116.603150 40.141691 34.24 0.0138 -0.0021 -0.0073
   5428 01 60 5a 116.603150 40.141691 34.24 -0.0243 -0.0207 -0.0041
   5468 01 60 5a 116.603150 40.141691 34.24 -0.0039 -0.0159 0.0116
   5508 01 60 5a 116.603150 40.141691 34.24 -0.0138 -0.0148 0.0198
   5548 01 60 5a 116.603150 40.141691 34.24 0.0005 -0.0172 0.0215
   5588 01 60 5a 116.603150 40.141691 34.24 0.0003 0.0139 -0.0036
   5628 01 60 5a 116.603150 40.141691 34.24 -0.0159 -0.0115 0.0533
   5668 01 60 5a 116.603150 40.141691 34.24 -0.0050 -0.0282 0.0164
   5709 01 60 5a 116.603150 40.141691 34.23 0.0063 0.0061 -0.0359
   5748 01 60 5a 116.603150 40.141691 34.23 0.0050 -0.0253 -0.0331
   5788 01 60 5a 116.603150 40.141691 34.23 -0.0091 -0.0058 0.0114
   5828 01 60 5a 116.603150 40.141691 34.23 0.0021 -0.0035 -0.0043
   5868 01 60 5a 116.603150 40.141691 34.22 0.0006 -0.0110 0.0089
   5908 01 60 5a 116.603150 40.141691 34.22 0.0043 0.0135 -0.0009
   5948 01 60 5a 116.603150 40.141691 34.22 -0.0138 -0.0185 -0.0117
   5988 01 60 5a 116.603150 40.141691 34.22 0.0073 0.0064 0.0292
   6028 01 60 5a 116.603150 40.141691 34.21 -0.0001 0.0008 -0.0076
   6068 01 60 5a 116.603150 40.141691 34.21 -0.0198 -0.0097 0.0192
   6108 01 60 5a 116.603150 40.141691 34.21 -0.0035 -0.0230 -0.0064
   6148 01 60 5a 116.603150 40.141692 34.21 -0.0083 -0.0073 -0.0184
   6188 01 60 5a 116.603150 40.141692 34.21 -0.0049 -0.0306 0.0043
   6228 01 60 5a 116.603150 40.141692 34.20 0.0043 -0.0134 0.0100
   6268 01 60 5a 116.603150 40.141692 34.21 -0.0008 0.0106 0.0495
   6308 01 60 5a 116.603150 40.141692 34.19 -0.0036 -0.0188 -0.0235
   6348 01 60 5a 116.603150 40.141692 34.20 -0.0042 0.0222 0.0235
   6388 01 60 5a 116.603150 40.141692 34.19 0.0048 0.0037 0.0144
   6428 01 60 5a 116.603150 40.141692 34.19 -0.0018 -0.0083 0.0205
   6468 01 60 5a 116.603150 40.141692 34.18 0.0022 -0.0031 -0.0136
   6508 01 60 5a 116.603150 40.141692 34.18 -0.0088 -0.0061 0.0027
   6548 01 60 5a 116.603150 40.141692 34.18 0.0141 0.0055 -0.0375
   6588 01 60 5a 116.603150 40.141692 34.17 0.0034 0.0053 -0.0167
   6628 01 60 5a 116.603150 40.141692 34.17 -0.0183 -0.0300 0.0050
   6668 01 60 5a 116.603150 40.141692 34.17 0.0168 0.0199 -0.0002
   6708 01 60 5a 116.603150 40.141692 34.17 -0.0015 -0.0248 -0.0234
   6748 01 60 5a 116.603150 40.141692 34.17 0.0055 -0.0031 0.0009
   6788 01 60 5a 116.603150 40.141692 34.16 0.0130 0.0029 -0.0441
   6828 01 60 5a 116.603150 40.141692 34.17 0.0122 0.0058 -0.0105
   6868 01 60 5a 116.603150 40.141692 34.17 -0.0061 0.0038 0.0122
   6908 01 60 5a 116.603150 40.141692 34.17 -0.0036 -0.0087 0.0313
   6948 01 60 5a 116.603150 40.141692 34.17 -0.0051 0.0024 0.0067
   6988 01 60 5a 116.603150 40.141692 34.17 -0.0201 -0.0117 0.0140
   7028 01 60 5a 116.603150 40.141692 34.17 -0.0012 -0.0050 0.0683
   7068 01 60 5a 116.603150 40.141692 34.16 -0.0087 -0.0070 0.0103
   7108 01 60 5a 116.603150 40.141692 34.16 -0.0011 -0.0160 0.0300
   7148 01 60 5a 116.603150 40.141692 34.16 -0.0278 -0.0266 0.0271
   7188 01 60 5a 116.603150 40.141692 34.16 -0.0139 -0.0267 -0.0217
   7228 01 60 5a 116.603150 40.141692 34.17 -0.0223 -0.0093 0.0259
   7268 01 60 5a 116.603150 40.141692 34.17 0.0075 -0.0188 -0.0063
   7308 01 60 5a 116.603150 40.141692 34.17 0.0027 0.0332 0.0020
   7348 01 60 5a 116.603150 40.141692 34.17 -0.0058 0.0063 0.0339
   7388 01 60 5a 116.603150 40.141692 34.18 0.0022 0.0000 0.0223
   7428 01 60 5a 116.603150 40.141692 34.18 0.0140 0.0148 0.0281
   7468 01 60 5a 116.603150 40.141692 34.18 0.0024 -0.0025 -0.0138
   7508 01 60 5a 116.603150 40.141692 34.19 -0.0013 0.0053 0.0255
